card_name,current_rarity,card_type,monster_type,archetype,rarity_score,rarity_reason,manual_override,release_date,pool_status
7,Secret Rare,Spell Card,,,6,"Mass effect (hits multiple/all cards, not just one target).",FALSE,2004-06-01,eligible_base_pre_2015
Advance Zone,Secret Rare,Spell Card,,,5.74,"Straightforward, unconditional effect.",FALSE,2012-08-18,eligible_base_pre_2015
"Alich, Malebranche of the Burning Abyss",Secret Rare,Effect Monster,Fiend / Effect,Burning Abyss,5.48,"Negates activations/effects (broadly relevant); references ""Burning Abyss"" in a way the engine could not confidently classify (flagged for review).",FALSE,2014-11-06,eligible_base_pre_2015
Allure of Darkness,Secret Rare,Spell Card,,,5.58,"Straightforward, unconditional effect.",FALSE,2008-01-26,eligible_base_pre_2015
Ancient Gear Engineer,Secret Rare,Effect Monster,Machine / Effect,Ancient Gear,5.65,Restricts what the opponent can do; floodgate/lock effect.,FALSE,2007-01-17,eligible_base_pre_2015
Ancient Gear Gadjiltron Dragon,Secret Rare,Effect Monster,Machine / Effect,Ancient Gear,5.45,Restricts what the opponent can do; floodgate/lock effect.,FALSE,2007-01-17,eligible_base_pre_2015
Aratama,Secret Rare,Spirit Monster,Fiend / Spirit / Effect,,5.75,Restricts what the opponent can do; floodgate/lock effect.,FALSE,2013-11-08,eligible_base_pre_2015
Archlord Kristya,Secret Rare,Effect Monster,Fairy / Effect,,5.61,Restricts what the opponent can do; floodgate/lock effect.,FALSE,2009-11-17,eligible_base_pre_2015
Armed Dragon LV7,Secret Rare,Effect Monster,Dragon / Effect,Armed Dragon,5.47,"Mass effect (hits multiple/all cards, not just one target); references ""Armed Dragon LV5"" in a way the engine could not confidently classify (flagged for review).",FALSE,2004-10-01,eligible_base_pre_2015
Armed Sea Hunter,Secret Rare,Effect Monster,Sea Serpent / Effect,,5.94,Negates activations/effects (broadly relevant); repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2009-09-01,eligible_base_pre_2015
Armored Glass,Secret Rare,Trap Card,,,5.47,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); must be Set a turn before it can be activated.",FALSE,2002-10-20,eligible_base_pre_2015
Armoroid,Secret Rare,Effect Monster,Machine / Effect,Roid,5.6,"Mass effect (hits multiple/all cards, not just one target); references ""roid"" in a way the engine could not confidently classify (flagged for review).",FALSE,2009-02-28,eligible_base_pre_2015
"Barbaroid, the Ultimate Battle Machine",Secret Rare,Fusion Monster,Machine / Fusion / Effect,Roid,5.42,"Negates activations/effects (broadly relevant); Materials are Attribute/Type/Tuner-constrained but not named: ""5 Machine-Type ""roid"" monsters"".; exceptionally strong on its own terms, not just as an archetype payoff.",FALSE,2012-01-03,eligible_base_pre_2015
Black and White Wave,Secret Rare,Spell Card,,,5.58,"Straightforward, unconditional effect.",FALSE,2013-08-08,eligible_base_pre_2015
Black Luster Soldier - Envoy of the Beginning,Secret Rare,Effect Monster,Warrior / Effect,Black Luster Soldier,5.52,"Straightforward, unconditional effect.",FALSE,2004-03-01,eligible_base_pre_2015
Blackwing - Aurora the Northern Lights,Secret Rare,Effect Monster,Winged Beast / Effect,Blackwing,5.61,"Restricts what the opponent can do; references ""Blackwing"" in a way the engine could not confidently classify (flagged for review); floodgate/lock effect.",FALSE,2010-11-06,eligible_base_pre_2015
Brain Golem,Secret Rare,Effect Monster,Fiend / Effect,,5.61,Negates activations/effects (broadly relevant); repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2009-05-02,eligible_base_pre_2015
Brotherhood of the Fire Fist - Tiger King,Secret Rare,XYZ Monster,Beast-Warrior / Xyz / Effect,Fire Fist,5.95,"Negates activations/effects (broadly relevant); mass effect (hits multiple/all cards, not just one target); references ""Fire Formation"" in a way the engine could not confidently classify (flagged for review).",FALSE,2013-01-25,eligible_base_pre_2015
Bujincident,Secret Rare,Trap Card,,Bujin,4.95,"Mass effect (hits multiple/all cards, not just one target); must target ""Bujin"" to do anything; must be Set a turn before it can be activated.",FALSE,2014-05-16,eligible_base_pre_2015
Burgeoning Whirlflame,Secret Rare,Trap Card,,Laval,5.74,"Negates activations/effects (broadly relevant); references ""Laval"" in a way the engine could not confidently classify (flagged for review); must be Set a turn before it can be activated.",FALSE,2011-08-06,eligible_base_pre_2015
Cards for Black Feathers,Secret Rare,Spell Card,,Blackwing,5.45,"References ""Blackwing"" in a way the engine could not confidently classify (flagged for review).",FALSE,2010-05-07,eligible_base_pre_2015
Cards from the Sky,Secret Rare,Spell Card,,,5.58,"Straightforward, unconditional effect.",FALSE,2011-06-10,eligible_base_pre_2015
Chow Chow Chan,Secret Rare,Effect Monster,Beast / Effect,,5.67,Negates activations/effects (broadly relevant); repeatable activation/effect negation with no once-per-turn limit found in text.,FALSE,2013-11-08,eligible_base_pre_2015
